r,g,b,a
0.0,0.0,0.0,1.0
0.23529412,0.05882353,0.05882353,1.0
0.39215687,0.11764706,0.11764706,1.0
0.5882353,0.0,0.5882353,1.0
0.4117647,0.4117647,0.4117647,1.0
0.60784316,0.60784316,0.0,1.0
0.74509805,0.74509805,0.0,1.0
0.7058824,0.47058824,0.0,1.0
0.72156864,0.54901963,0.36078432,1.0
0.0,0.0,0.47058824,1.0
0.0,0.15686275,0.627451,1.0
0.0,0.15686275,0.627451,1.0
0.0,0.15686275,0.627451,1.0
0.0,0.47058824,0.78431374,1.0
0.0,0.47058824,0.78431374,1.0
0.0,0.47058824,0.78431374,1.0
0.0,0.7372549,0.9411765,1.0
0.0,0.7372549,0.9411765,1.0
0.0,0.9882353,0.9882353,1.0
0.0,0.9882353,0.9882353,1.0
0.0,0.9882353,0.9882353,1.0
0.0,0.9882353,0.9882353,1.0
0.32941177,0.0,0.0,1.0
0.32941177,0.0,0.0,1.0
0.32941177,0.0,0.0,1.0
0.65882355,0.0,0.0,1.0
0.65882355,0.0,0.0,1.0
0.65882355,0.0,0.0,1.0
0.9882353,0.0,0.0,1.0
0.9882353,0.0,0.0,1.0
0.9882353,0.0,0.0,1.0
0.9882353,0.3137255,0.3137255,1.0
0.9882353,0.3137255,0.3137255,1.0
0.9882353,0.3137255,0.3137255,1.0
0.9882353,0.54901963,0.54901963,1.0
0.9882353,0.54901963,0.54901963,1.0
0.9882353,0.54901963,0.54901963,1.0
0.0,0.9882353,0.0,1.0
0.0,0.9882353,0.0,1.0
0.0,0.9882353,0.0,1.0
0.47058824,0.9882353,0.47058824,1.0
0.47058824,0.9882353,0.47058824,1.0
0.47058824,0.9882353,0.47058824,1.0
0.7058824,0.9882353,0.7058824,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.0,0.0,0.0,1.0
0.43137255,0.43137255,0.43137255,1.0
0.45490196,0.45490196,0.45490196,1.0
0.47843137,0.47843137,0.47843137,1.0
0.5019608,0.5019608,0.5019608,1.0
0.5803922,0.5803922,0.5803922,1.0
0.60784316,0.60784316,0.60784316,1.0
0.63529414,0.63529414,0.63529414,1.0
0.6666667,0.6666667,0.6666667,1.0
0.74509805,0.74509805,0.74509805,1.0
0.8627451,0.8627451,0.8627451,1.0
0.9411765,0.9411765,0.9411765,1.0
0.9529412,0.9529412,0.9529412,1.0
0.9647059,0.9647059,0.9647059,1.0
0.9764706,0.9764706,0.9764706,1.0
0.9882353,0.9882353,0.9882353,1.0
